Seed,Games,SeedWins,SeedLoss,WIN%,R64,R32,S16,E8,F4,F2,Champion,Top2,CHAMP%
1,240,191,49,0.796,60,58,48,36,22,16,11,60,99.90%
11,112,52,60,0.464,60,29,15,5,3,0,0,0,11.40%
3,175,116,59,0.663,60,53,36,18,5,3,1,0,78.50%
15,72,12,60,0.167,60,7,4,1,0,0,0,0,0.00%
7,116,57,59,0.491,60,36,12,4,3,1,1,0,21.20%
12,93,33,60,0.355,60,24,8,1,0,0,0,0,4.50%
8,108,48,60,0.444,60,32,7,3,3,3,0,0,15.00%
4,154,95,59,0.617,60,46,32,9,5,2,1,0,72.20%
16,62,2,60,0.032,60,2,0,0,0,0,0,0,0.00%
9,99,39,60,0.394,60,28,5,4,2,0,0,0,11.70%
13,76,16,60,0.211,60,14,2,0,0,0,0,0,0.60%
2,189,130,59,0.688,60,53,37,25,11,3,1,60,96.90%
14,67,7,60,0.104,60,7,0,0,0,0,0,0,0.50%
10,95,35,60,0.368,60,24,7,3,1,0,0,0,13.20%
5,128,68,60,0.531,60,36,18,7,5,2,0,0,49.40%
6,104,44,60,0.423,60,31,9,4,0,0,0,0,29.30%
